PlantID,PlantName,AccessionID,AccessionName,ExperimentID,ExperimentName,ExperimentCondition,GrowthLocation,TrayPosition,SampleID,SampleName,SampleType,PlateName,PlateCoordinate,NameInWell,TubeBarcode,Note,PopulationName
,,,,,,,,,S46012,jg-3-6,,Emelliodora_LB_Block10,F1,jg-3-6,,,
,,,,,,,,,S46013,jg-3-7,,Emelliodora_LB_Block10,G1,jg-3-7,,,
,,,,,,,,,S46014,jg-3-8,,Emelliodora_LB_Block10,H1,jg-3-8,,,
,,,,,,,,,S46015,jg-3-9,,Emelliodora_LB_Block10,A2,jg-3-9,,,
,,,,,,,,,S46016,jg-3-10,,Emelliodora_LB_Block10,B2,jg-3-10,,,
,,,,,,,,,S46017,jg-3-11,,Emelliodora_LB_Block10,C2,jg-3-11,,,
,,,,,,,,,S46018,jg-3-12,,Emelliodora_LB_Block10,D2,jg-3-12,,,
,,,,,,,,,S46019,jg-3-13,,Emelliodora_LB_Block10,E2,jg-3-13,,,
,,,,,,,,,S46020,jg-3-14,,Emelliodora_LB_Block10,F2,jg-3-14,,,
,,,,,,,,,S46021,jg-3-15,,Emelliodora_LB_Block10,G2,jg-3-15,,,
,,,,,,,,,S46022,jg-3-16,,Emelliodora_LB_Block10,H2,jg-3-16,,,
,,,,,,,,,S46023,jg-3-17,,Emelliodora_LB_Block10,A3,jg-3-17,,,
,,,,,,,,,S46024,jg-3-18,,Emelliodora_LB_Block10,B3,jg-3-18,,,
,,,,,,,,,S46025,jg-3-19,,Emelliodora_LB_Block10,C3,jg-3-19,,,
,,,,,,,,,S46026,jg-3-20,,Emelliodora_LB_Block10,D3,jg-3-20,,,
,,,,,,,,,S46027,jg-3-21,,Emelliodora_LB_Block10,E3,jg-3-21,,,
,,,,,,,,,S46028,jg-3-22,,Emelliodora_LB_Block10,F3,jg-3-22,,,
,,,,,,,,,S46029,jg-3-23,,Emelliodora_LB_Block10,G3,jg-3-23,,,
,,,,,,,,,S46030,jg-3-24,,Emelliodora_LB_Block10,H3,jg-3-24,,,
,,,,,,,,,S46031,jg-3-25,,Emelliodora_LB_Block10,A4,jg-3-25,,,
,,,,,,,,,S46032,jg-3-26,,Emelliodora_LB_Block10,B4,jg-3-26,,,
,,,,,,,,,S46033,jg-3-27,,Emelliodora_LB_Block10,C4,jg-3-27,,,
,,,,,,,,,S46034,jg-3-28,,Emelliodora_LB_Block10,D4,jg-3-28,,,
,,,,,,,,,S46035,jg-3-29,,Emelliodora_LB_Block10,E4,jg-3-29,,,
,,,,,,,,,S46036,jg-3-30,,Emelliodora_LB_Block10,F4,jg-3-30,,,
,,,,,,,,,S46037,jg-3-31,,Emelliodora_LB_Block10,G4,jg-3-31,,,
,,,,,,,,,S46038,jg-3-32,,Emelliodora_LB_Block10,H4,jg-3-32,,,
,,,,,,,,,S46039,jg-3-33,,Emelliodora_LB_Block10,A5,jg-3-33,,,
,,,,,,,,,S46040,jg-3-34,,Emelliodora_LB_Block10,B5,jg-3-34,,,
,,,,,,,,,S46041,jg-3-35,,Emelliodora_LB_Block10,C5,jg-3-35,,,
,,,,,,,,,S46042,jg-3-36,,Emelliodora_LB_Block10,D5,jg-3-36,,,
,,,,,,,,,S46043,jg-3-37,,Emelliodora_LB_Block10,E5,jg-3-37,,,
,,,,,,,,,S46044,jg-3-38,,Emelliodora_LB_Block10,F5,jg-3-38,,,
,,,,,,,,,S46045,jg-3-39,,Emelliodora_LB_Block10,G5,jg-3-39,,,
,,,,,,,,,S46046,jg-3-40,,Emelliodora_LB_Block10,H5,jg-3-40,,,
,,,,,,,,,S46047,jg-3-41,,Emelliodora_LB_Block10,A6,jg-3-41,,,
,,,,,,,,,S46048,jg-3-42,,Emelliodora_LB_Block10,B6,jg-3-42,,,
,,,,,,,,,S46049,jg-3-43,,Emelliodora_LB_Block10,C6,jg-3-43,,,
,,,,,,,,,S46050,jg-3-44,,Emelliodora_LB_Block10,D6,jg-3-44,,,
,,,,,,,,,S46051,jg-3-45,,Emelliodora_LB_Block10,E6,jg-3-45,,,
,,,,,,,,,S46052,jg-3-46,,Emelliodora_LB_Block10,F6,jg-3-46,,,
,,,,,,,,,S46053,jg-3-47,,Emelliodora_LB_Block10,G6,jg-3-47,,,
,,,,,,,,,S46054,jg-3-48,,Emelliodora_LB_Block10,H6,jg-3-48,,,
,,,,,,,,,S46055,jg-4-1,,Emelliodora_LB_Block10,A7,jg-4-1,,,
,,,,,,,,,S46056,jg-4-2,,Emelliodora_LB_Block10,B7,jg-4-2,,,
,,,,,,,,,S46057,jg-4-3,,Emelliodora_LB_Block10,C7,jg-4-3,,,
,,,,,,,,,S46058,jg-4-4,,Emelliodora_LB_Block10,D7,jg-4-4,,,
,,,,,,,,,S46059,jg-4-5,,Emelliodora_LB_Block10,E7,jg-4-5,,,
,,,,,,,,,S46060,jg-4-6,,Emelliodora_LB_Block10,F7,jg-4-6,,,
,,,,,,,,,S46061,jg-4-7,,Emelliodora_LB_Block10,G7,jg-4-7,,,
,,,,,,,,,S46062,jg-4-8,,Emelliodora_LB_Block10,H7,jg-4-8,,,
,,,,,,,,,S46063,jg-4-9,,Emelliodora_LB_Block10,A8,jg-4-9,,,
,,,,,,,,,S46064,jg-4-10,,Emelliodora_LB_Block10,B8,jg-4-10,,,
,,,,,,,,,S46065,jg-4-11,,Emelliodora_LB_Block10,C8,jg-4-11,,,
,,,,,,,,,S46066,jg-4-12,,Emelliodora_LB_Block10,D8,jg-4-12,,,
,,,,,,,,,S46067,jg-4-13,,Emelliodora_LB_Block10,E8,jg-4-13,,,
,,,,,,,,,S46068,jg-4-14,,Emelliodora_LB_Block10,F8,jg-4-14,,,
,,,,,,,,,S46069,jg-4-15,,Emelliodora_LB_Block10,G8,jg-4-15,,,
,,,,,,,,,S46070,jg-4-16,,Emelliodora_LB_Block10,H8,jg-4-16,,,
,,,,,,,,,S46071,jg-4-17,,Emelliodora_LB_Block10,A9,jg-4-17,,,
,,,,,,,,,S46072,jg-4-18,,Emelliodora_LB_Block10,B9,jg-4-18,,,
,,,,,,,,,S46073,jg-4-19,,Emelliodora_LB_Block10,C9,jg-4-19,,,
,,,,,,,,,S46074,jg-4-20,,Emelliodora_LB_Block10,D9,jg-4-20,,,
,,,,,,,,,S46075,jg-4-21,,Emelliodora_LB_Block10,E9,jg-4-21,,,
,,,,,,,,,S46076,jg-4-22,,Emelliodora_LB_Block10,F9,jg-4-22,,,
,,,,,,,,,S46077,jg-4-23,,Emelliodora_LB_Block10,G9,jg-4-23,,,
,,,,,,,,,S46078,jg-4-24,,Emelliodora_LB_Block10,H9,jg-4-24,,,
,,,,,,,,,S46079,jg-4-25,,Emelliodora_LB_Block10,A10,jg-4-25,,,
,,,,,,,,,S46080,jg-4-26,,Emelliodora_LB_Block10,B10,jg-4-26,,,
,,,,,,,,,S46081,jg-4-27,,Emelliodora_LB_Block10,C10,jg-4-27,,,
,,,,,,,,,S46082,jg-4-28,,Emelliodora_LB_Block10,D10,jg-4-28,,,
,,,,,,,,,S46083,jg-4-29,,Emelliodora_LB_Block10,E10,jg-4-29,,,
,,,,,,,,,S46084,jg-4-30,,Emelliodora_LB_Block10,F10,jg-4-30,,,
,,,,,,,,,S46085,jg-4-31,,Emelliodora_LB_Block10,G10,jg-4-31,,,
,,,,,,,,,S46086,jg-4-32,,Emelliodora_LB_Block10,H10,jg-4-32,,,
,,,,,,,,,S46087,jg-4-33,,Emelliodora_LB_Block10,A11,jg-4-33,,,
,,,,,,,,,S46088,jg-4-34,,Emelliodora_LB_Block10,B11,jg-4-34,,,
,,,,,,,,,S46089,jg-4-35,,Emelliodora_LB_Block10,C11,jg-4-35,,,
,,,,,,,,,S46090,jg-4-36,,Emelliodora_LB_Block10,D11,jg-4-36,,,
,,,,,,,,,S46091,jg-4-37,,Emelliodora_LB_Block10,E11,jg-4-37,,,
,,,,,,,,,S46092,jg-4-38,,Emelliodora_LB_Block10,F11,jg-4-38,,,
,,,,,,,,,S46093,jg-4-39,,Emelliodora_LB_Block10,G11,jg-4-39,,,
,,,,,,,,,S46094,jg-4-40,,Emelliodora_LB_Block10,H11,jg-4-40,,,
,,,,,,,,,S46095,jg-4-41,,Emelliodora_LB_Block10,A12,jg-4-41,,,
,,,,,,,,,S46096,jg-4-42,,Emelliodora_LB_Block10,B12,jg-4-42,,,
,,,,,,,,,S46097,jg-4-43,,Emelliodora_LB_Block10,C12,jg-4-43,,,
,,,,,,,,,S46098,jg-4-44,,Emelliodora_LB_Block10,D12,jg-4-44,,,
,,,,,,,,,S46099,jg-4-45,,Emelliodora_LB_Block10,E12,jg-4-45,,,
,,,,,,,,,S46100,jg-4-46,,Emelliodora_LB_Block10,F12,jg-4-46,,,
,,,,,,,,,S46101,jg-4-47,,Emelliodora_LB_Block10,G12,jg-4-47,,,
,,,,,,,,,S46102,jg-4-48,,Emelliodora_LB_Block10,H12,jg-4-48,,,
,,,,,,,,,S46103,jg-5-1,,Emelliodora_LB_Block11,A1,jg-5-1,,,
,,,,,,,,,S46104,jg-5-2,,Emelliodora_LB_Block11,B1,jg-5-2,,,
,,,,,,,,,S46105,jg-5-3,,Emelliodora_LB_Block11,C1,jg-5-3,,,
,,,,,,,,,S46106,jg-5-4,,Emelliodora_LB_Block11,D1,jg-5-4,,,
,,,,,,,,,S46107,jg-5-5,,Emelliodora_LB_Block11,E1,jg-5-5,,,
,,,,,,,,,S46108,jg-5-6,,Emelliodora_LB_Block11,F1,jg-5-6,,,
,,,,,,,,,S46109,jg-5-7,,Emelliodora_LB_Block11,G1,jg-5-7,,,
,,,,,,,,,S46110,jg-5-8,,Emelliodora_LB_Block11,H1,jg-5-8,,,
,,,,,,,,,S46111,jg-5-9,,Emelliodora_LB_Block11,A2,jg-5-9,,,
,,,,,,,,,S46112,jg-5-10,,Emelliodora_LB_Block11,B2,jg-5-10,,,
,,,,,,,,,S46113,jg-5-11,,Emelliodora_LB_Block11,C2,jg-5-11,,,
,,,,,,,,,S46114,jg-5-12,,Emelliodora_LB_Block11,D2,jg-5-12,,,
,,,,,,,,,S46115,jg-5-13,,Emelliodora_LB_Block11,E2,jg-5-13,,,
,,,,,,,,,S46116,jg-5-14,,Emelliodora_LB_Block11,F2,jg-5-14,,,
,,,,,,,,,S46117,jg-5-15,,Emelliodora_LB_Block11,G2,jg-5-15,,,
,,,,,,,,,S46118,jg-5-16,,Emelliodora_LB_Block11,H2,jg-5-16,,,
,,,,,,,,,S46119,jg-5-17,,Emelliodora_LB_Block11,A3,jg-5-17,,,
,,,,,,,,,S46120,jg-5-18,,Emelliodora_LB_Block11,B3,jg-5-18,,,
,,,,,,,,,S46121,jg-5-19,,Emelliodora_LB_Block11,C3,jg-5-19,,,
,,,,,,,,,S46122,jg-5-20,,Emelliodora_LB_Block11,D3,jg-5-20,,,
,,,,,,,,,S46123,jg-5-21,,Emelliodora_LB_Block11,E3,jg-5-21,,,
,,,,,,,,,S46124,jg-5-22,,Emelliodora_LB_Block11,F3,jg-5-22,,,
,,,,,,,,,S46125,jg-5-23,,Emelliodora_LB_Block11,G3,jg-5-23,,,
,,,,,,,,,S46126,jg-5-24,,Emelliodora_LB_Block11,H3,jg-5-24,,,
,,,,,,,,,S46127,jg-5-25,,Emelliodora_LB_Block11,A4,jg-5-25,,,
,,,,,,,,,S46128,jg-5-26,,Emelliodora_LB_Block11,B4,jg-5-26,,,
,,,,,,,,,S46129,jg-5-27,,Emelliodora_LB_Block11,C4,jg-5-27,,,
,,,,,,,,,S46130,jg-5-28,,Emelliodora_LB_Block11,D4,jg-5-28,,,
,,,,,,,,,S46131,jg-5-29,,Emelliodora_LB_Block11,E4,jg-5-29,,,
,,,,,,,,,S46132,jg-5-30,,Emelliodora_LB_Block11,F4,jg-5-30,,,
,,,,,,,,,S46133,jg-5-31,,Emelliodora_LB_Block11,G4,jg-5-31,,,
,,,,,,,,,S46134,jg-5-32,,Emelliodora_LB_Block11,H4,jg-5-32,,,
,,,,,,,,,S46135,jg-5-33,,Emelliodora_LB_Block11,A5,jg-5-33,,,
,,,,,,,,,S46136,jg-5-34,,Emelliodora_LB_Block11,B5,jg-5-34,,,
,,,,,,,,,S46137,jg-5-35,,Emelliodora_LB_Block11,C5,jg-5-35,,,
,,,,,,,,,S46138,jg-5-36,,Emelliodora_LB_Block11,D5,jg-5-36,,,
,,,,,,,,,S46139,jg-5-37,,Emelliodora_LB_Block11,E5,jg-5-37,,,
,,,,,,,,,S46140,jg-5-38,,Emelliodora_LB_Block11,F5,jg-5-38,,,
,,,,,,,,,S46141,jg-5-39,,Emelliodora_LB_Block11,G5,jg-5-39,,,
,,,,,,,,,S46142,jg-5-40,,Emelliodora_LB_Block11,H5,jg-5-40,,,
,,,,,,,,,S46143,jg-5-41,,Emelliodora_LB_Block11,A6,jg-5-41,,,
,,,,,,,,,S46144,jg-5-42,,Emelliodora_LB_Block11,B6,jg-5-42,,,
,,,,,,,,,S46145,jg-5-43,,Emelliodora_LB_Block11,C6,jg-5-43,,,
,,,,,,,,,S46146,jg-5-44,,Emelliodora_LB_Block11,D6,jg-5-44,,,
,,,,,,,,,S46147,jg-5-45,,Emelliodora_LB_Block11,E6,jg-5-45,,,
,,,,,,,,,S46148,jg-5-46,,Emelliodora_LB_Block11,F6,jg-5-46,,,
,,,,,,,,,S46149,jg-5-47,,Emelliodora_LB_Block11,G6,jg-5-47,,,
,,,,,,,,,S46150,jg-5-48,,Emelliodora_LB_Block11,H6,jg-5-48,,,
,,,,,,,,,S46151,lfp-1-1,,Emelliodora_LB_Block11,A7,lfp-1-1,,,
,,,,,,,,,S46152,lfp-1-2,,Emelliodora_LB_Block11,B7,lfp-1-2,,,
,,,,,,,,,S46153,lfp-1-3,,Emelliodora_LB_Block11,C7,lfp-1-3,,,
,,,,,,,,,S46154,lfp-1-4,,Emelliodora_LB_Block11,D7,lfp-1-4,,,
,,,,,,,,,S46155,lfp-1-5,,Emelliodora_LB_Block11,E7,lfp-1-5,,,
,,,,,,,,,S46156,lfp-1-6,,Emelliodora_LB_Block11,F7,lfp-1-6,,,
,,,,,,,,,S46157,lfp-1-7,,Emelliodora_LB_Block11,G7,lfp-1-7,,,
,,,,,,,,,S46158,lfp-1-8,,Emelliodora_LB_Block11,H7,lfp-1-8,,,
,,,,,,,,,S46159,lfp-1-9,,Emelliodora_LB_Block11,A8,lfp-1-9,,,
,,,,,,,,,S46160,lfp-1-10,,Emelliodora_LB_Block11,B8,lfp-1-10,,,
,,,,,,,,,S46161,lfp-1-11,,Emelliodora_LB_Block11,C8,lfp-1-11,,,
,,,,,,,,,S46162,lfp-1-12,,Emelliodora_LB_Block11,D8,lfp-1-12,,,
,,,,,,,,,S46163,lfp-1-13,,Emelliodora_LB_Block11,E8,lfp-1-13,,,
,,,,,,,,,S46164,lfp-1-14,,Emelliodora_LB_Block11,F8,lfp-1-14,,,
,,,,,,,,,S46165,lfp-1-15,,Emelliodora_LB_Block11,G8,lfp-1-15,,,
,,,,,,,,,S46166,lfp-1-16,,Emelliodora_LB_Block11,H8,lfp-1-16,,,
,,,,,,,,,S46167,lfp-1-17,,Emelliodora_LB_Block11,A9,lfp-1-17,,,
,,,,,,,,,S46168,lfp-1-18,,Emelliodora_LB_Block11,B9,lfp-1-18,,,
,,,,,,,,,S46169,lfp-1-19,,Emelliodora_LB_Block11,C9,lfp-1-19,,,
,,,,,,,,,S46170,lfp-1-20,,Emelliodora_LB_Block11,D9,lfp-1-20,,,
,,,,,,,,,S46171,lfp-1-21,,Emelliodora_LB_Block11,E9,lfp-1-21,,,
,,,,,,,,,S46172,lfp-1-22,,Emelliodora_LB_Block11,F9,lfp-1-22,,,
,,,,,,,,,S46173,lfp-1-23,,Emelliodora_LB_Block11,G9,lfp-1-23,,,
,,,,,,,,,S46174,lfp-1-24,,Emelliodora_LB_Block11,H9,lfp-1-24,,,
,,,,,,,,,S46175,lfp-1-25,,Emelliodora_LB_Block11,A10,lfp-1-25,,,
,,,,,,,,,S46176,lfp-1-26,,Emelliodora_LB_Block11,B10,lfp-1-26,,,
,,,,,,,,,S46177,lfp-1-27,,Emelliodora_LB_Block11,C10,lfp-1-27,,,
,,,,,,,,,S46178,lfp-1-28,,Emelliodora_LB_Block11,D10,lfp-1-28,,,
,,,,,,,,,S46179,lfp-1-29,,Emelliodora_LB_Block11,E10,lfp-1-29,,,
,,,,,,,,,S46180,lfp-1-30,,Emelliodora_LB_Block11,F10,lfp-1-30,,,
,,,,,,,,,S46181,lfp-1-31,,Emelliodora_LB_Block11,G10,lfp-1-31,,,
,,,,,,,,,S46182,lfp-1-32,,Emelliodora_LB_Block11,H10,lfp-1-32,,,
,,,,,,,,,S46183,lfp-1-33,,Emelliodora_LB_Block11,A11,lfp-1-33,,,
,,,,,,,,,S46184,lfp-1-34,,Emelliodora_LB_Block11,B11,lfp-1-34,,,
,,,,,,,,,S46185,lfp-1-35,,Emelliodora_LB_Block11,C11,lfp-1-35,,,
,,,,,,,,,S46186,lfp-1-36,,Emelliodora_LB_Block11,D11,lfp-1-36,,,
,,,,,,,,,S46187,lfp-1-37,,Emelliodora_LB_Block11,E11,lfp-1-37,,,
,,,,,,,,,S46188,lfp-1-38,,Emelliodora_LB_Block11,F11,lfp-1-38,,,
,,,,,,,,,S46189,lfp-1-39,,Emelliodora_LB_Block11,G11,lfp-1-39,,,
,,,,,,,,,S46190,lfp-1-40,,Emelliodora_LB_Block11,H11,lfp-1-40,,,
,,,,,,,,,S46191,lfp-1-41,,Emelliodora_LB_Block11,A12,lfp-1-41,,,
,,,,,,,,,S46192,lfp-1-42,,Emelliodora_LB_Block11,B12,lfp-1-42,,,
,,,,,,,,,S46193,lfp-1-43,,Emelliodora_LB_Block11,C12,lfp-1-43,,,
,,,,,,,,,S46194,lfp-1-44,,Emelliodora_LB_Block11,D12,lfp-1-44,,,
,,,,,,,,,S46195,lfp-1-45,,Emelliodora_LB_Block11,E12,lfp-1-45,,,
,,,,,,,,,S46196,lfp-1-46,,Emelliodora_LB_Block11,F12,lfp-1-46,,,
,,,,,,,,,S46197,lfp-1-47,,Emelliodora_LB_Block11,G12,lfp-1-47,,,
,,,,,,,,,S46198,lfp-1-48,,Emelliodora_LB_Block11,H12,lfp-1-48,,,
,,,,,,,,,S46199,lfp-2-1,,Emelliodora_LB_Block12,A1,lfp-2-1,,,
,,,,,,,,,S46200,lfp-2-2,,Emelliodora_LB_Block12,B1,lfp-2-2,,,
,,,,,,,,,S46201,lfp-2-3,,Emelliodora_LB_Block12,C1,lfp-2-3,,,
,,,,,,,,,S46202,lfp-2-4,,Emelliodora_LB_Block12,D1,lfp-2-4,,,
,,,,,,,,,S46203,lfp-2-5,,Emelliodora_LB_Block12,E1,lfp-2-5,,,
,,,,,,,,,S46204,lfp-2-6,,Emelliodora_LB_Block12,F1,lfp-2-6,,,
,,,,,,,,,S46205,lfp-2-7,,Emelliodora_LB_Block12,G1,lfp-2-7,,,
,,,,,,,,,S46206,lfp-2-8,,Emelliodora_LB_Block12,H1,lfp-2-8,,,
,,,,,,,,,S46207,lfp-2-9,,Emelliodora_LB_Block12,A2,lfp-2-9,,,
,,,,,,,,,S46208,lfp-2-10,,Emelliodora_LB_Block12,B2,lfp-2-10,,,
,,,,,,,,,S46209,lfp-2-11,,Emelliodora_LB_Block12,C2,lfp-2-11,,,
,,,,,,,,,S46210,lfp-2-12,,Emelliodora_LB_Block12,D2,lfp-2-12,,,
,,,,,,,,,S46211,lfp-2-13,,Emelliodora_LB_Block12,E2,lfp-2-13,,,
,,,,,,,,,S46212,lfp-2-14,,Emelliodora_LB_Block12,F2,lfp-2-14,,,
,,,,,,,,,S46213,lfp-2-15,,Emelliodora_LB_Block12,G2,lfp-2-15,,,
,,,,,,,,,S46214,lfp-2-16,,Emelliodora_LB_Block12,H2,lfp-2-16,,,
,,,,,,,,,S46215,lfp-2-17,,Emelliodora_LB_Block12,A3,lfp-2-17,,,
,,,,,,,,,S46216,lfp-2-18,,Emelliodora_LB_Block12,B3,lfp-2-18,,,
,,,,,,,,,S46217,lfp-2-19,,Emelliodora_LB_Block12,C3,lfp-2-19,,,
,,,,,,,,,S46218,lfp-2-20,,Emelliodora_LB_Block12,D3,lfp-2-20,,,
,,,,,,,,,S46219,lfp-2-21,,Emelliodora_LB_Block12,E3,lfp-2-21,,,
,,,,,,,,,S46220,lfp-2-22,,Emelliodora_LB_Block12,F3,lfp-2-22,,,
,,,,,,,,,S46221,lfp-2-23,,Emelliodora_LB_Block12,G3,lfp-2-23,,,
,,,,,,,,,S46222,lfp-2-24,,Emelliodora_LB_Block12,H3,lfp-2-24,,,
,,,,,,,,,S46223,lfp-2-25,,Emelliodora_LB_Block12,A4,lfp-2-25,,,
,,,,,,,,,S46224,lfp-2-26,,Emelliodora_LB_Block12,B4,lfp-2-26,,,
,,,,,,,,,S46225,lfp-2-27,,Emelliodora_LB_Block12,C4,lfp-2-27,,,
,,,,,,,,,S46226,lfp-2-28,,Emelliodora_LB_Block12,D4,lfp-2-28,,,
,,,,,,,,,S46227,lfp-2-29,,Emelliodora_LB_Block12,E4,lfp-2-29,,,
,,,,,,,,,S46228,lfp-2-30,,Emelliodora_LB_Block12,F4,lfp-2-30,,,
,,,,,,,,,S46229,lfp-2-31,,Emelliodora_LB_Block12,G4,lfp-2-31,,,
,,,,,,,,,S46230,lfp-2-32,,Emelliodora_LB_Block12,H4,lfp-2-32,,,
,,,,,,,,,S46231,lfp-2-33,,Emelliodora_LB_Block12,A5,lfp-2-33,,,
,,,,,,,,,S46232,lfp-2-34,,Emelliodora_LB_Block12,B5,lfp-2-34,,,
,,,,,,,,,S46233,lfp-2-35,,Emelliodora_LB_Block12,C5,lfp-2-35,,,
,,,,,,,,,S46234,lfp-2-36,,Emelliodora_LB_Block12,D5,lfp-2-36,,,
,,,,,,,,,S46235,lfp-2-37,,Emelliodora_LB_Block12,E5,lfp-2-37,,,
,,,,,,,,,S46236,lfp-2-38,,Emelliodora_LB_Block12,F5,lfp-2-38,,,
,,,,,,,,,S46237,lfp-2-39,,Emelliodora_LB_Block12,G5,lfp-2-39,,,
,,,,,,,,,S46238,lfp-2-40,,Emelliodora_LB_Block12,H5,lfp-2-40,,,
,,,,,,,,,S46239,lfp-2-41,,Emelliodora_LB_Block12,A6,lfp-2-41,,,
,,,,,,,,,S46240,lfp-2-42,,Emelliodora_LB_Block12,B6,lfp-2-42,,,
,,,,,,,,,S46241,lfp-2-43,,Emelliodora_LB_Block12,C6,lfp-2-43,,,
,,,,,,,,,S46242,lfp-2-44,,Emelliodora_LB_Block12,D6,lfp-2-44,,,
,,,,,,,,,S46243,lfp-2-45,,Emelliodora_LB_Block12,E6,lfp-2-45,,,
,,,,,,,,,S46244,lfp-2-46,,Emelliodora_LB_Block12,F6,lfp-2-46,,,
,,,,,,,,,S46245,lfp-2-47,,Emelliodora_LB_Block12,G6,lfp-2-47,,,
,,,,,,,,,S46246,lfp-2-48,,Emelliodora_LB_Block12,H6,lfp-2-48,,,
,,,,,,,,,S46247,lfp-3-1,,Emelliodora_LB_Block12,A7,lfp-3-1,,,
,,,,,,,,,S46248,lfp-3-2,,Emelliodora_LB_Block12,B7,lfp-3-2,,,
,,,,,,,,,S46249,lfp-3-3,,Emelliodora_LB_Block12,C7,lfp-3-3,,,
,,,,,,,,,S46250,lfp-3-4,,Emelliodora_LB_Block12,D7,lfp-3-4,,,
,,,,,,,,,S46251,lfp-3-5,,Emelliodora_LB_Block12,E7,lfp-3-5,,,
,,,,,,,,,S46252,lfp-3-6,,Emelliodora_LB_Block12,F7,lfp-3-6,,,
,,,,,,,,,S46253,lfp-3-7,,Emelliodora_LB_Block12,G7,lfp-3-7,,,
,,,,,,,,,S46254,lfp-3-8,,Emelliodora_LB_Block12,H7,lfp-3-8,,,
,,,,,,,,,S46255,lfp-3-9,,Emelliodora_LB_Block12,A8,lfp-3-9,,,
,,,,,,,,,S46256,lfp-3-10,,Emelliodora_LB_Block12,B8,lfp-3-10,,,
,,,,,,,,,S46257,lfp-3-11,,Emelliodora_LB_Block12,C8,lfp-3-11,,,
,,,,,,,,,S46258,lfp-3-12,,Emelliodora_LB_Block12,D8,lfp-3-12,,,
,,,,,,,,,S46259,lfp-3-13,,Emelliodora_LB_Block12,E8,lfp-3-13,,,
,,,,,,,,,S46260,lfp-3-14,,Emelliodora_LB_Block12,F8,lfp-3-14,,,
,,,,,,,,,S46261,lfp-3-15,,Emelliodora_LB_Block12,G8,lfp-3-15,,,
,,,,,,,,,S46262,lfp-3-16,,Emelliodora_LB_Block12,H8,lfp-3-16,,,
,,,,,,,,,S46263,lfp-3-17,,Emelliodora_LB_Block12,A9,lfp-3-17,,,
,,,,,,,,,S46264,lfp-3-18,,Emelliodora_LB_Block12,B9,lfp-3-18,,,
,,,,,,,,,S46265,lfp-3-19,,Emelliodora_LB_Block12,C9,lfp-3-19,,,
,,,,,,,,,S46266,lfp-3-20,,Emelliodora_LB_Block12,D9,lfp-3-20,,,
,,,,,,,,,S46267,lfp-3-21,,Emelliodora_LB_Block12,E9,lfp-3-21,,,
,,,,,,,,,S46268,lfp-3-22,,Emelliodora_LB_Block12,F9,lfp-3-22,,,
,,,,,,,,,S46269,lfp-3-23,,Emelliodora_LB_Block12,G9,lfp-3-23,,,
,,,,,,,,,S46270,lfp-3-24,,Emelliodora_LB_Block12,H9,lfp-3-24,,,
,,,,,,,,,S46271,lfp-3-25,,Emelliodora_LB_Block12,A10,lfp-3-25,,,
,,,,,,,,,S46272,lfp-3-26,,Emelliodora_LB_Block12,B10,lfp-3-26,,,
,,,,,,,,,S46273,lfp-3-27,,Emelliodora_LB_Block12,C10,lfp-3-27,,,
,,,,,,,,,S46274,lfp-3-28,,Emelliodora_LB_Block12,D10,lfp-3-28,,,
,,,,,,,,,S46275,lfp-3-29,,Emelliodora_LB_Block12,E10,lfp-3-29,,,
,,,,,,,,,S46276,lfp-3-30,,Emelliodora_LB_Block12,F10,lfp-3-30,,,
,,,,,,,,,S46277,lfp-3-31,,Emelliodora_LB_Block12,G10,lfp-3-31,,,
,,,,,,,,,S46278,lfp-3-32,,Emelliodora_LB_Block12,H10,lfp-3-32,,,
,,,,,,,,,S46279,lfp-3-33,,Emelliodora_LB_Block12,A11,lfp-3-33,,,
,,,,,,,,,S46280,lfp-3-34,,Emelliodora_LB_Block12,B11,lfp-3-34,,,
,,,,,,,,,S46281,lfp-3-35,,Emelliodora_LB_Block12,C11,lfp-3-35,,,
,,,,,,,,,S46282,lfp-3-36,,Emelliodora_LB_Block12,D11,lfp-3-36,,,
,,,,,,,,,S46283,lfp-3-37,,Emelliodora_LB_Block12,E11,lfp-3-37,,,
,,,,,,,,,S46284,lfp-3-38,,Emelliodora_LB_Block12,F11,lfp-3-38,,,
,,,,,,,,,S46285,lflp-3-39,,Emelliodora_LB_Block12,G11,lflp-3-39,,,
,,,,,,,,,S46286,lfp-3-40,,Emelliodora_LB_Block12,H11,lfp-3-40,,,
,,,,,,,,,S46287,lfp-3-41,,Emelliodora_LB_Block12,A12,lfp-3-41,,,
,,,,,,,,,S46288,lfp-3-42,,Emelliodora_LB_Block12,B12,lfp-3-42,,,
,,,,,,,,,S46289,lfp-3-43,,Emelliodora_LB_Block12,C12,lfp-3-43,,,
,,,,,,,,,S46290,lfp-3-44,,Emelliodora_LB_Block12,D12,lfp-3-44,,,
,,,,,,,,,S46291,lfp-3-45,,Emelliodora_LB_Block12,E12,lfp-3-45,,,
,,,,,,,,,S46292,lfp-3-46,,Emelliodora_LB_Block12,F12,lfp-3-46,,,
,,,,,,,,,S46293,lfp-3-47,,Emelliodora_LB_Block12,G12,lfp-3-47,,,
,,,,,,,,,S46294,lfp-3-48,,Emelliodora_LB_Block12,H12,lfp-3-48,,,
